Distrito; Barrio; NumHogares; NumFamilias; NumNucleos; ; ; 
1;1.el Raval;17.752;10.763;11.251;;;
1;2.el Barri Gòtic;8.209;4.313;4.295;;;
1;3.la Barceloneta;8.164;4.932;4.9;;;
1;4.Sant Pere, Santa Caterina i la Ribera;10.38;5.744;5.628;;;
2;5.el Fort Pienc;13.166;9.109;8.966;;;
2;6.la Sagrada Família;23.509;15.134;14.551;;;
2;7.la Dreta de l'Eixample;18.66;11.366;11.248;;;
2;8.l'Antiga Esquerra de l'Eixample;17.932;11.032;10.559;;;
2;9.la Nova Esquerra de l'Eixample;27.115;18.186;17.913;;;
2;10.Sant Antoni;17.554;10.842;10.604;;;
3;11.el Poble Sec - Parc Montjuïc;16.516;10.6;10.443;;;
3;12.la Marina del Prat Vermell - Zona Franca;309;238;226;;;
3;13.la Marina de Port;11.998;8.984;9.086;;;
3;14.la Font de la Guatlla;4.532;3.161;3.067;;;
3;15.Hostafrancs;6.82;4.34;4.194;;;
3;16.la Bordeta;8.22;5.966;5.854;;;
3;17.Sants - Badal;10.195;7.101;7.221;;;
3;18.Sants;19.229;13.336;13.058;;;
4;19.les Corts;19.488;13.91;13.719;;;
4;20.la Maternitat i Sant Ramon;9.72;7.148;7.023;;;
4;21.Pedralbes;4.007;3.05;2.99;;;
5;22.Vallvidrera el Tibidabo i les Planes;1.026;850;857;;;
5;23.Sarrià;9.428;6.85;6.923;;;
5;24.les Tres Torres;5.687;4.295;4.318;;;
5;25.Sant Gervasi - la Bonanova;9.715;6.839;6.815;;;
5;26.Sant Gervasi - Galvany;18.387;12.446;12.338;;;
5;27.el Putxet i el Farró;12.765;8.6;8.561;;;
6;28.Vallcarca i els Penitents;7.349;4.798;4.759;;;
6;29.el Coll;3.387;2.22;2.18;;;
6;30.la Salut;5.274;3.562;3.545;;;
6;31.la Vila de Gràcia;23.468;14.254;14.028;;;
6;32.el Camp d'en Grassot i Gràcia Nova;15.537;9.923;9.845;;;
7;33.el Baix Guinardó;11.792;8.001;8.132;;;
7;34.Can Baró;3.832;2.832;2.802;;;
7;35.el Guinardó;16.007;11.054;10.917;;;
7;36.la Font d'en Fargues;3.849;2.9;2.833;;;
7;37.el Carmel;12.62;9.243;9.195;;;
7;38.la Teixonera;4.989;3.749;3.82;;;
7;39.Sant Genís dels Agudells;2.816;1.918;1.936;;;
7;40.Montbau;2.128;1.356;1.372;;;
7;41.la Vall d'Hebron;2.167;1.501;1.526;;;
7;42.la Clota;197;160;147;;;
7;43.Horta;11.154;8.234;8.246;;;
8;44.Vilapicina i la Torre Llobeta;11.095;8.166;8.066;;;
8;45.Porta;11.072;7.758;7.745;;;
8;46.el Turó de la Peira;6.321;4.086;4.288;;;
8;47.Can Peguera;987;677;723;;;
8;48.la Guineueta;6.898;5.087;5.163;;;
8;49.Canyelles;2.619;2.035;2.025;;;
8;50.les Roquetes;5.312;4.076;4.301;;;
8;51.Verdun;5.78;4.186;4.184;;;
8;52.la Prosperitat;11.005;8.113;8.034;;;
8;53.la Trinitat Nova;2.522;1.648;1.669;;;
8;54.Torre Baró;517;356;400;;;
8;55.Ciutat Meridiana;3.73;2.836;2.91;;;
8;56.Vallbona;428;302;302;;;
9;57.la Trinitat Vella;3.092;2.384;2.305;;;
9;58.Baró de Viver;890;578;575;;;
9;59.el Bon Pastor;4.336;3.334;3.343;;;
9;60.Sant Andreu;24.576;17.869;17.678;;;
9;61.la Sagrera;12.168;8.731;8.947;;;
9;62.el Congrés i els Indians;5.963;3.927;3.896;;;
9;63.Navas;10.659;7.29;7.318;;;
10;64.el Camp de l'Arpa del Clot;16.993;11.436;11.2;;;
10;65.el Clot;11.699;8.643;8.593;;;
10;66.el Parc i la Llacuna del Poblenou;6.202;3.995;4.002;;;
10;67.la Vila Olímpica del Poblenou;3.746;2.681;2.685;;;
10;68.el Poblenou;13.723;9.941;9.847;;;
10;69.Diagonal Mar i el Front Marítim del Poblenou;5.735;3.635;3.599;;;
10;70.el Besòs i el Maresme;7.611;5.527;5.272;;;
10;71.Provençals del Poblenou;8.343;6.137;6.2;;;
10;72.Sant Martí de Provençals;11.322;7.869;7.818;;;
10;73.la Verneda i la Pau;11.683;8.593;8.527;;;
