district; pop0; pop1; pop2; pop3; pop4; pop5; pop6; nat_pop0; nat_pop1; nat_pop2; nat_pop3; nat_pop4; nat_pop5; nat_pop6
year; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2010; 2011; 2012; 2013; 2014; 2015; 2016
1;104507.0;103563.0;104442.0;103339.0;100685.0;100115.0;100070.0;104507.0;104513.0;104600.0;104569.0;104513.0;104465.0;104431.0
2;265785.0;264477.0;265828.0;264780.0;263565.0;263558.0;264305.0;265785.0;265118.0;264518.0;263759.0;262985.0;262459.0;261872.0
3;182914.0;182817.0;184072.0;182685.0;180824.0;180757.0;180977.0;182914.0;182975.0;182947.0;182744.0;182571.0;182509.0;182296.0
4;82883.0;82436.0;82420.0;81640.0;81200.0;81530.0;81642.0;82883.0;82769.0;82704.0;82573.0;82453.0;82317.0;82209.0
5;144537.0;144554.0;145391.0;145266.0;145761.0;146834.0;148026.0;144537.0;144553.0;144545.0;144481.0;144473.0;144414.0;144326.0
6;122990.0;121540.0;121926.0;120949.0;120273.0;120401.0;120918.0;122990.0;122924.0;122930.0;122817.0;122638.0;122512.0;122327.0
7;170795.0;169896.0;169107.0;167743.0;166950.0;166559.0;167268.0;170795.0;170598.0;170215.0;169787.0;169393.0;168947.0;168456.0
8;167949.0;167637.0;167419.0;165748.0;164516.0;164648.0;164881.0;167949.0;168006.0;167896.0;167694.0;167501.0;167273.0;167022.0
9;146844.0;147370.0;147453.0;146846.0;145983.0;146494.0;146731.0;146844.0;147134.0;147331.0;147374.0;147483.0;147560.0;147511.0
10;230133.0;231158.0;232885.0;232826.0;232629.0;233659.0;233928.0;230133.0;230438.0;230773.0;230895.0;231108.0;231224.0;231262.0
